SENTENCES,EMOTION,SCORING
stand front mansoors works feel obviously artistic intention not raise already raised questions structural linguistics deconstructionist clamor followed,joy,5.0
feel like more boring paint than bunch fruit,sadness,1.5
would almost anything feeling back days back carefree wonderful now everything life just so complicated,joy,5.0
feel anger feel sad feel joy feel other emotions too will stick few,sadness,1.5
set aside feeling happily helped now everything normalized students liked changed schedule just forgotten oblivion,love,4.5
wonder feel undernurtured needy,sadness,1.5
all id ever known so figured normal feel ugly dumb weird,sadness,1.5
stopped feeling little awkward,sadness,1.5
guess no matter how much think im feeling ok im nervous hell inside scan revealing something dont want know again,fear,2.0
began feel little anxious may almost obviously time running honest im just plumb excuses,fear,2.0
feel less frightened more grounded centered,fear,2.0
would like take opportunity describe one day week when feeling particularly gloomy,sadness,1.5
could feel how much slower treadmill pace pleasant six days relative inactivity just happy running again,joy,5.0
feel so weird guess kind happy,fear,2.0
im tired feeling unhappy things unmotivated,sadness,1.5
im feeling generous so there go golden nugget,joy,5.0
could feel productive treatment,joy,5.0
makes feel more determined give some effort dig deep when im feeling pain,joy,5.0
might hold sense satisfaction feeling superior giving advice,joy,5.0
wanted skate fast wanted try everything just see difference feel amazing,surprise,3.5
not want feel rushed program,anger,1.0
would really love not friend not feels guilty sorry,sadness,1.5
think desire privacy campout feel would terrific,joy,5.0
cant feel dont turn back wont ignored time wont heal dont turn back wont ignored,sadness,1.5
when younger used feel homesick,sadness,1.5
rarely respond comments made unless feel very important specific reason so,joy,5.0
feel tender when not done anything,love,4.5
never feel like anythings getting resolved counseling so just drift away,joy,5.0
swear mean browns fail tomorrow night make feel like idiot not trusting gut feeling going lose tomorrow im not picking win again all season,joy,5.0
im feeling generous week,joy,5.0
left theater feeling sad alone sudden realization own fleeting mortality weighing each every step,sadness,1.5
definitely feeling effects progesterone two ways breasts tender im tired,love,4.5
will try stay focused order avoid feeling reluctant finish,fear,2.0
never know how talk people shows always feel bit dazed so hope didnt think rude,surprise,3.5
feel experience convinced all more need prayer country,joy,5.0
seek pain feel tortured just feel something,fear,2.0
im feeling optimistic finishing last two weeks strong probably continuing,joy,5.0
already feel using us feels weird havent even done anything there yet feel coming like ministry coming,fear,2.0
not care much number viewers viewer ratings drama iris gained huge success began feel greedy,anger,1.0
realize how much little family leans felt so overwhelming feel so inadequate,sadness,1.5
im feeling just little bit pleased,joy,5.0
ive also run im feeling particularly virtuous,joy,5.0
no longer even remotely ok body feel ugly person swore love,sadness,1.5
feel things often just repressed fear anxiety distrust,sadness,1.5
just feel tender,love,4.5
think one most important things not allow anything all make feel fearful fear any other negative emotions pull vibration,fear,2.0
made way class feeling sense fond connection childhood only discover without supplies stirred other memories,love,4.5
really feel know devil hates always something could use im determined not let,joy,5.0
feel when things happen get excited when things work well,joy,5.0
feeling ok biostatistics course physiology course will touchy,joy,5.0
feel ignored systemic nature pattern sexual abuse mishandling reports sexual abuse service understandably wishing defend protect friend reputation,sadness,1.5
feel like doomed life sleep obsession,sadness,1.5
moments feeling silently offended egyptian youngsters identified egyptian even born us labeling white person even though many ways more assimilated than,anger,1.0
feel shocked youd stoop destinys child,surprise,3.5
feel need explain thoughts ways clever funny maybe even insightful,joy,5.0
would suggest volunteering help people need such salvation army when help others learn appreciate still feel worthwhile,joy,5.0
managed however relax enjoy scenery feeling romantic thoroughly enjoying thanniversary cruise,love,4.5
sometimes feel like damaged product,sadness,1.5
woke feeling fine,joy,5.0
feel impatient brians prolonged assertion alien encounter nobody other than victim could truly relate repercussion molested,anger,1.0
can cope presence without feeling distressed can force quiet resigned friendship,fear,2.0
wasnt feeling well there no specific issue,joy,5.0
feel like ungrateful ass httpthisisntcuteanymore,sadness,1.5
love how customers leave studio looking automatically refreshed radiant now product line everyone can feel gorgeous confident,joy,5.0
feel frightened fats,fear,2.0
gotta say im feeling little slutty here,love,4.5
feel like way can combine all creative outpourings one thing,joy,5.0
found looking clock starting feel irritated,anger,1.0
im feeling just little proud,joy,5.0
back feeling determined,joy,5.0
wednesday postgraduate open day there will plenty write rest week feel sure,joy,5.0
feel little low japan always feel pangs guilt when fail appreciate living situation decisions,sadness,1.5
feel dirty watching series can tell how series trying induce false emotions viewer,sadness,1.5
just sat there group feeling really depressed book just go missing time,sadness,1.5
already feel kicking ribs making harder breathe sometimes taking precious space where stomach once,joy,5.0
feeling irritated anxious often then dont even like kids touching,anger,1.0
ideas ive getting making feel suspicious like someone elses great work trying get credit,fear,2.0
decide picking easy route would get nowhere feel like other people want tortured so follow blue path,fear,2.0
feel appalled took advantage old friends kindness,anger,1.0
ive feeling bit messy im hoping fresh look will help figure better way deal,sadness,1.5
really excited didnt really stand lot high school just slightly average decently friendly feel like delivering speech will cool legacy can leave school,joy,5.0
wish could chinese biteonmyfingersoyoufeelthepainmilesaway thing upon some reflection perhaps wouldnt very considerate,love,4.5
also tried all frustration when feeling none too energetic work respirometry stuff going huge nightmare,joy,5.0
feel even more determined keep onceperweek tradition son started,joy,5.0
feel need compensate only most perfect jacket topper cover where boobs not fulfill duties,joy,5.0
could expected every way feeling bit overwhelmed point how quickly life changed past weeks,fear,2.0
feel like might just ok,joy,5.0
feel like unfortunate events fit thoughtquote posted,sadness,1.5
feeling so hyper bouncy,joy,5.0
doubt makes any sense anyone when feel emotional metaphors come tumbling like rockslide,sadness,1.5
didnt want feel any pain hour later decided start shortly broke water,sadness,1.5
remember appalled feeling personally insulted could thought would listen something vulgar bee gees,anger,1.0
look photo feel gentle calm makeup still soft warmer feel harmonizes better warm colors flowers,love,4.5
know havent met most person feel so honored able come together grow closer god,joy,5.0
im feeling especially brave tough ill tell story scattering ashes,joy,5.0
still feel like im punished,sadness,1.5
feel nervous leaving kid,fear,2.0
feel so content job,joy,5.0
feel furious love really thought better than,anger,1.0
ill get mopey occurred past frequency decreasing logarithmic scale even then only when im feeling selfdoubting also occurring less,fear,2.0
feel useful valued fundamental,joy,5.0
actually meeting last week where someone yelled older lady phone rang felt terrible when boss treats unfairly case someone makes feel not worth anything only allowing offended steal joy,anger,1.0
dont go around questioning women feeling suspicious,fear,2.0
feeling bitchy evening,anger,1.0
feel so relaxed happy discovered love projects take few months end will actual product show,joy,5.0
like fresh sweet feeling gave,joy,5.0
feel so wiggy everything maybe ill just drop virtuous lib stance join georgie porgie,joy,5.0
ive posted ive feeling casual vibe when comes dressing,joy,5.0
ended podcast feeling not depressed exactly like still didnt concrete answer how strike balance selfhelp authors love talk,sadness,1.5
im not sure why im just feeling delicate,love,4.5
feel vile rising throat flipping lid toilet let,anger,1.0
can feel rebellious spirit already,anger,1.0
feel honored part culinary community here,joy,5.0
feel no shame whatsoever longing iron man local cineworld,love,4.5
feel ungrateful wanting more truth,sadness,1.5
feel sort vain,sadness,1.5
feel like target blank class di title bookmark del,sadness,1.5
feel like fish might moderately more intelligent than most fish ive noticed tendency go corner tank closest container fish food just stare,joy,5.0
feeling clever so changed last line cookies,joy,5.0
will admit joy cooking there also times where feel defeated,sadness,1.5
finally starting feel like real life here san vicente no longer strange confusing extended vacation,fear,2.0
feel like even though things arent quite resolved major peace still,joy,5.0
feel ashamed,sadness,1.5
feel fucking woeful looking other girls,sadness,1.5
feel really irritated when talk problems people start talking,anger,1.0
feeling homesick annual easter breakfast service church morning when left hike mt precipice sunrise,sadness,1.5
dont know makes feel generous,joy,5.0
im already feeling pretty festive year even though only november,joy,5.0
feel helpless regain safe feeling,sadness,1.5
still feeling hesitant last night when woke found made decision slatebook somewhat own surprise wanted,fear,2.0
feel worth should determined actions nobody nothing else,joy,5.0
thought would feel apprehensive surprisingly comfortable gone,fear,2.0
feel drained physically sore work,sadness,1.5
sure appreciate asking instead just feeling mad hurt thought,anger,1.0
listen music feel so much pride think gave birth amazingly talented child one day when early teens picked guitar just played like second nature,joy,5.0
not want others feel unhappy just accommodate,sadness,1.5
prolific writer fandom not feel highly respected fellow writers once write so much often most people cannot,joy,5.0
feel lonely want someone makes feel special when feel useless always kind sweet,sadness,1.5
feeling will dissatisfied several times,anger,1.0
feel gentle tap find flower child watching expression grave,love,4.5
im feeling restless frustrated right now way specific people recovering illness injury,fear,2.0
feel honoured such great man claims friend,joy,5.0
will burn feel pain will twist knife bleed aching heart tear apart will lie beg steal will crawl hands knees see youre just like,sadness,1.5
feel uncomfortable telling others girls wish lists,fear,2.0
cant simple math question guess broke front tuition teacher known almost years now feeling pressured feel so bad,fear,2.0
feel doubtful abilities,fear,2.0
ive feeling very listless lately,sadness,1.5
said beginning combination oily skin still use around once week skin feels absolutely gorgeous morning applying,joy,5.0
honest say first two chapters sort overwhelmed wasnt sure going able follow everything feeling kind dumb,sadness,1.5
lay here typing hate blog entry no one would read although want whole world read praise like dickens feel so miserable,sadness,1.5
cant look too long without feeling depressed,sadness,1.5
not feeling so generous sent sofa where glares next six hours,anger,1.0
dont really believe walked all water stops first marathon actually dont think walking bad dammit feeling stubborn wanted get home needed motivated something,anger,1.0
firmly believe only way go craft write book feel passionate not worry finding book mass audience desires,joy,5.0
always get feeling ive given one kid more than another vicious,anger,1.0
things feel ashamed,sadness,1.5
dont want hurt anybodys feelings certainly dont want betray any amount trust want entertain want faithful thoughts topics hand,love,4.5
feel though merely accepted done no matter time gone will always,joy,5.0
yearold girl just wanted feel important,joy,5.0
see all friends posting pics status updates where going feel bit jealous knowing not something can get enjoy,anger,1.0
strong feelings faithful,love,4.5
suppose all feel little inhibited when comes picking phone calling someone not very close anymore,sadness,1.5
used word just feel energy anticipation people prepare delicious meals gather needed tools when invite loved ones homes,joy,5.0
fact might so simply couldnt keep mouth shut makes feel terrible,sadness,1.5
feel just ongoing dull pain few hours day chest,sadness,1.5
when see people physically resemble feel confident strike conversations strangers,joy,5.0
im feeling bit grouchy today,anger,1.0
feel so damn curious blond doctor plans tonight,surprise,3.5
sit feel awful miles starts feeling whoevers pants back cigarette box,sadness,1.5
dont know freshness both feel more energetic seasons,joy,5.0
im feeling cranky httpdoingaoneeighty,anger,1.0
feel sad im okay im happy done even though hurts little,sadness,1.5
feel terrific actor,joy,5.0
feel like everythings going happen without ive disillusioned whole time,sadness,1.5
feel restless own pursuits,fear,2.0
felt slight bitterness finish detracted oily mouthfeel sweet entry,joy,5.0
woke felt sad all again quickly replaced feeling reassured things will work themselves own time,joy,5.0
feel quite reluctant pick dance dragons book once im done knows how long id wait martin finish next installment took years release dance dragons feast crows,fear,2.0
trying demonstrate understood feeling very alarmed worried safety,fear,2.0
feel like hes lot more playful open than other girls know hes friends,joy,5.0
needed some space needed grow midst some serious change ok yes also hurt feelings pretty badly bit spiteful,anger,1.0
feel very cheated since supporting family all other stuff spends hours day gaming,anger,1.0
continue feel so content decision move here,joy,5.0
cant help feel burdened anxious,sadness,1.5
wont lie week bit difficult week ive feeling very stressed anxious week plus think im coming flu definitely helped appreciate little things,sadness,1.5
kinda get really attached excited when feel way never handle things well others would,joy,5.0
both started feel uncomfortable got leave met comments oh yeah right two girls like wouldnt come bar youre not looking attention guys,fear,2.0
almost didnt even feel convinced way book written,sadness,1.5
im feeling brave ill snatch onto lap few seconds struggling completely relaxes submits mommy scratches,joy,5.0
feel poachers others kill animals pelts ivory other parts should punished severely find hunting fishing cruel,sadness,1.5
feel empty cheated name friendship broken,sadness,1.5
feel sure will go beyond,joy,5.0
need some extra guidance feeling doubtful god seems put right message ear need just right time,fear,2.0
just feel insulted oh oh oh exexboyfriend so totally entirely,anger,1.0
im feeling really really sarcastic caustic theres influx idiots friends lists daily lives,anger,1.0
feel can only hope im not alone thoughts im sure all fellow exchange students probably same thoughts mind least some listed some might say exchange student unlike any other experience,sadness,1.5
feel anna hazare little bit stubborn jan lokpal bill protests related,anger,1.0
listen feel all rebellious,anger,1.0
feel like less woman less person less valuable im not married not dating,sadness,1.5
feeling really troubled dad said,sadness,1.5
id feel frantic,fear,2.0
learned how present front class without feeling nervous,fear,2.0
also miss old curious child within just feel curious child inside dying slowly upon shock knowing world not beautiful thought,surprise,3.5
feeling content happy,joy,5.0
feel like getting terrific recruiter basketball coach person,joy,5.0
just got back another mile run faster than yesterday im feeling amazing,surprise,3.5
im feeling adventurous might even make multiple tiers too,joy,5.0
wouldnt say suffer social discomfort moment ive found places where feel comfortable even people accepted way,joy,5.0
feeling cool night got right,joy,5.0
not feeling love towards becomes somewhat vicious circle resulting just feeling lazy complacent general just demotivated,anger,1.0
cant write review book adore unless feeling adoring mood moment,love,4.5
feeling very insecure sensitive,fear,2.0
feel so useless some days,sadness,1.5
feel most unloved unlovable,sadness,1.5
feel special httpfacsimilogos,joy,5.0
feel pretty strongly not giveaway gain numbers,joy,5.0
feel really honoured part inaugural race can sense how proud local runners able show trails host event,joy,5.0
feel can stop so obnoxious think very least,anger,1.0
didnt feel any love caring now,sadness,1.5
feel like bit ungrateful fool not written anything last week,sadness,1.5
even dare try explain words how feel gorgeous boy here house every other day holding hand lifes dismays,joy,5.0
feeling sorts restless,fear,2.0
im feeling little dissatisfied,anger,1.0
feel so helpless right now,fear,2.0
feel like ive come long way im proud ive achieved not only week year well,joy,5.0
feeling very anxious song came radio soon got car,fear,2.0
feel numb end world know feel numb httpleslielandberg,sadness,1.5
awful year racing feeling exhausted all time,sadness,1.5
when going trials just feeling troubled something love put worship music driving really think words sing pray go,sadness,1.5
havent able lot stuff most people managed various points lives feel missed lot life know current path only ticket live life want,sadness,1.5
im feeling hopeful relieved,joy,5.0
feel might lost potty training train,sadness,1.5
im afraid call guy yesterday think hell angry think boss angry dont communicate feel like im shitty job project fears onto,fear,2.0
always feel so dull morning,sadness,1.5
lost words tell agonizing pain feel own sorrowful heart heart darkness,sadness,1.5
feel like lashes rude,anger,1.0
feel groggy sorts episode not counting fact got scared last night,sadness,1.5
know will no picnic will not feel defeated all get first contraction immediately decide go epidural induced csection whatever may,sadness,1.5
feel vital importance stress show love towards one another genuine love please people otherwise feel free go cold not like misled,joy,5.0
feel bit calm now,joy,5.0
feeling brave would try pick running again,joy,5.0
asthma when can barely breathe when hard feel very shaky weak feel like not anything lie there helplessly feel like collapsing so much research got nothing,fear,2.0
walked refuge feeling perfect shelter storm,joy,5.0
find helps let go selfwill saying let will done not mine when im feeling particularly impatient gods time not time,anger,1.0
again not inspired looking ideas images feel dont appreciate anymore become useless purely skilldriven nothing thought,sadness,1.5
become someone else make random awkward jokes honestly feeling so strange feels like top cloud,fear,2.0
hope get job cause im desperate need money feel greedy,anger,1.0
feel like im hated most girls im good dancer,sadness,1.5
feel like living austin really sweet other ways,love,4.5
think itd easier parents argued then could feel rebellious something right now just feel like burden,anger,1.0
think im making feeling like missed autumn great colors,sadness,1.5
blamed people around making feel less valued stayathome mom,sadness,1.5
feel weekend going slutty one,love,4.5
get impression banjo really feeling molly still prefers beloved katy perry purrrr,love,4.5
didnt get prank anyone throughout whole day cause either too busy not feeling creative,joy,5.0
wish could go could hair makeup feel cute flirt talk stuff never occurs,sadness,1.5
feeling particularly optimistic today every reason look forward amazing things future,joy,5.0
feel books always wonderful gift baby,joy,5.0
told willing whatever took not feel horrible every day,sadness,1.5
feeling cold towards partner although didnt think presented way felt like fake feelings didnt love anymore,anger,1.0
feel ok must reason why so outrageously priced,joy,5.0
really feel superior,joy,5.0
feel like line so perfect,joy,5.0
lie feels belly listens babys heartbeat gets mad sitting without rolling onto side first then tells theres some protein urine nothing worried though asks anything bothering,anger,1.0
left feeling absolutely devastated,sadness,1.5
dont stiffen dont fight feel bad behaving way naturally behave,joy,5.0
work well almost every client ive ever contact know means feel depressed angry frustrated irritated hopeless apathetic feel daily,sadness,1.5
hear someone say should just let gardeners let folks whatever want feel pretty aggravated,anger,1.0
im feeling so appreciative every experience life brought now today,joy,5.0
feel affectionate toward,love,4.5
feel really shitty seriously like whole thing ruined,sadness,1.5
always feel love something much vaster could explore together perhaps should then make life something worthwhile too late,joy,5.0
feel useless just bachelors masters,sadness,1.5
stopped began telling wanted feel peaceful,joy,5.0
acted withdrawn cold towards others situations required empathy not dont care just dont always feel feelings so fake,sadness,1.5
feel like nailed marriage house parts life happy content can possibly aspects,joy,5.0
just tell people feel like one sweet southern mess right now,joy,5.0
feel folks tender plantings may set too soon might actually dip freezing next few nights,love,4.5
really feel pissed want spend more time,anger,1.0
feel calm okay sometimes just get so sad,sadness,1.5
went outside shut hens then tempted brilliance stars walk across frozen fields feeling very cold looking sky,sadness,1.5
im feeling little lethargic,sadness,1.5
also feel passionate teaching,love,4.5
woke feeling little disturbed,sadness,1.5
take jenny spayed so course im feeling nervous guilty,fear,2.0
received slightly belated message back daniel feel lot more reassured im not only one thinks l emotionally insensitive,joy,5.0
encountered much dreams thrilled left feeling even more terrified,fear,2.0
work like crazy extra stuff around house volunteering serving other people attempt feel productive useful someone anyone pleeeeeease,joy,5.0
started questioning god feeling worthless even jealous others come parenthood so easily,sadness,1.5
cant help feeling curious,surprise,3.5
feeling so appreciative today,joy,5.0
feel kinda bitchy cranky need try take nap,anger,1.0
declined purchase any time enjoyed feeling squishing projectthinking all divine yarn,joy,5.0
feel like adds little bit more shield cold fabric great wicking away sweat,joy,5.0
feel much more relaxed going race,joy,5.0
feel needs clever title cant think one,joy,5.0
feel kind ashamed,sadness,1.5
felt like id developed feelings guy thus explaining why id even follow guy like faithful puppy dog never knew,joy,5.0
feel like im so distracted most days,sadness,1.5
always feel sympathetic well life can really hard sometimes when lot pride,love,4.5
not any serious injuries setbacks other than infection foot couple months ago noticed knees inner foot started ache feel tender longer runs,sadness,1.5
feel like nine times ten long youre determined keen tends work anyway,joy,5.0
im feeling absolutely amazing,surprise,3.5
got shot terbutaline makes feel shaky makes heart race like just drank cups coffee,fear,2.0
stressed job search apartment hunting just feeling overwhelmed everything going,fear,2.0
ive feeling very mad,anger,1.0
havent sick winter very often since quit smoking years ago so seldom fact now when get sick feel outraged hows rational thinking,anger,1.0
im feeling all romantic so thought id show some easy lastminute presents fashion ideas valentines day,love,4.5
feel so restless so bored im danger giving good work,fear,2.0
need step game im just feeling like cant bothered,anger,1.0
feel like im unwelcome,sadness,1.5
feel uncomfortable now carrying volvo belly nice tidy looks not unsimilar beer gut dad nice hard round waddle just like,fear,2.0
im happy report im still not feeling terribly stressed,joy,5.0
feel more loyal micah,love,4.5
feel vital importance care know stuff,joy,5.0
feel slightly weird costume,fear,2.0
didnt want spending days working job didnt enjoy come home feeling stressed tired not able give daughter attention deserved,anger,1.0
noticed fingers toes get very cold almost feel numb,sadness,1.5
always buy couple pork loins when go sale when im feeling clever cut half tuck gallonsize ziplocs marinade stuff freezer,joy,5.0
feel so extremely disappointed took granted,sadness,1.5
feel like everything hope become pillar life cling despise clinging something like hopeless fucking baby,sadness,1.5
dont know feel virtuous so accept reward,joy,5.0
feel like cant truly get excited race no idea whether not ill even able run,sadness,1.5
usually end sitting desk feeling like im work just unimportant tasks browsing internet,sadness,1.5
feel like mom compassionate smart stable human,love,4.5
feel elegant dress,joy,5.0
still feel like there lot left keep entertained,joy,5.0
wasnt feeling crappy enough aunt flo decided show im bloated like balloon,sadness,1.5
feeling overwhelmingly anxious so went room read bible pray,fear,2.0
write giggle shake head humbling shame way feel somewhat triumphant,joy,5.0
said something familiar such would love present now feel too anxious time,fear,2.0
write th post feel extremely delighted buy little corner blogger world,joy,5.0
dont know how else describe except say same feeling three weeks beloved grandmother passed away,sadness,1.5
learning relearning lesson no matter how feel even how others may feel treasured god,love,4.5
know feel losing control trusting catch when comes apart,joy,5.0
said feel free contact something interested finding more,joy,5.0
lie bed knowing holy spirit got work feel burdened im not working hard enough,sadness,1.5
feel good how successful attempts im starting connect fact people want hear music not perfection whatever,joy,5.0
feel like very pleasant nearly transparent presence lobelia though presence necessary nonetheless,joy,5.0
cant feel anything like said why everything always hurt so bad,sadness,1.5
grave feeling will not back tomorrow strangely enough accepted,sadness,1.5
blessed running th time how could not feeling anything thankful many gifts race given,joy,5.0
suggest take look when feel curious enough know more things specific english words related familiar diseases,surprise,3.5
type words feel like shouldnt surprised,surprise,3.5
know sucker overhead feel triumphant,joy,5.0
plan so obtaining mba mba program feel most valuable outcomes would like,joy,5.0
feel bit lonely just writing not facetoface someone cant get feedback,sadness,1.5
some great friends great housemates listened how feel reminded so unimportant should enjoy life proud,sadness,1.5
when learnt best friend failed exams,anger,1.0
told gerry yesterday feel isolated own fault,sadness,1.5
feel days living fear just another way dying time so today declaring fearless,joy,5.0
started feel like going mad sure could see stars floating water whenever went grab one came nothing,fear,2.0
basically spent miserable night crying feeling terrified sick stomach,fear,2.0
feeling past few days little distressed not writing here much,fear,2.0
im feeling all jolly warm inside just feel empty,sadness,1.5
just wanted read books watch tv feel miserable,sadness,1.5
feeling little fearful trying eat damn thing,fear,2.0
not feel unwelcome apartment certainly not,joy,5.0
took care avoiding family events make feel shitty,sadness,1.5
body scan realized everything feeling amazing,surprise,3.5
feel much more energized than gloomy rainy autumn day,joy,5.0
im sure will feel fine morning,joy,5.0
look others feel jealous,anger,1.0
feel like moronic bastard,sadness,1.5
dont care any read just feel when im around guys feel hated,sadness,1.5
feel pressure funny all time,fear,2.0
im okay getting married whirlwindstyle courthouse going kentucky live im still feeling hurt betrayal secretive style adopted,sadness,1.5
feel most important question how would handle,joy,5.0
feel so pretty doesnt matter how unglamorous task,joy,5.0
could feel sincere enthusiasm all people got involved project,joy,5.0
feel remorseful crimes committed intentionally unintentionally whether not known not known,sadness,1.5
cant quite figure how feel im not devastated like lucy im not sure thats easier first time,sadness,1.5
feeling depressed cursing luck,sadness,1.5
feel truly heartbroken hyun joongs fans can so hateful,sadness,1.5
feel guilty wont able give little one same amount time just,sadness,1.5
know fact treated everyone way love seemed boundless also made feel important,joy,5.0
im feeling little anxious whole thing,fear,2.0
sure meant celebration various shades red there feel insulted,anger,1.0
however totally petrified feeling scared death giving releasing afraid wouldnt able cap again,fear,2.0
know feel vulnerable,fear,2.0
feeling so melancholy alone,sadness,1.5
im feeling exponentially more useless farm each day passes,sadness,1.5
would point really could used bit more attention writing aspect feels bit dull few places,sadness,1.5
love hearty chat where mean everything say laugh heartgut not wanna let person feel im entertained,joy,5.0
also know today refuse hate jews anybody else know how feels hated,sadness,1.5
feeling spark not sure where going will ever turn flame,joy,5.0
roll tongue labia sucking nibbling drawing flesh mouth letting feel delicate pinch teeth,love,4.5
feel so frustrated long weekday dont really plenty rest right now keeps coming room,anger,1.0
feel like ive neglectful,sadness,1.5
feel like boring blogger lately,sadness,1.5
soon realized initial attraction activity feels playful often followed desire practice perfect talent led original enjoyment,joy,5.0
always feel little jealous son when joined church went almost directly young women so didnt learn primary songs,anger,1.0
feel though worthwhile careerwise,joy,5.0
still feel like there more than enough keep entertained still just few keep dusted,joy,5.0
dont always feel like amazing style most days choose comfort anything else there one thing feel makes all difference how feel makeup,joy,5.0
feel numb dont experience anything numbness part just always feels something going go wrong,sadness,1.5
im feeling weepy already,sadness,1.5
look utter horror see man holding elevator door open instead feeling terrified even telling guy get elevator imagine elevator chewing like metallic pacman not pacquiao other yellow guy,fear,2.0
havent needed pain meds maybe will chillax some wine feeling all elegant like,joy,5.0
feel virtuous tough when wear hat jeans tshirt without worrying,joy,5.0
disagree parents many issues will sometimes let know feelings unkind ways,anger,1.0
longer go without new post more guilty feel leaving all loyal readers dark progress crazy quest set days ago,sadness,1.5
feel so eager prove friend im not like,joy,5.0
admit feel teensiest bit envious friends live there,anger,1.0
feel so easily like gentle rain warms earth brings laughter delight all pause take notice such blessing,love,4.5
hate feelings heart hate work stressed hate cornelius wont let get way im frustrated lord,sadness,1.5
im still feeling pretty low demotivated including ups,sadness,1.5
breathe feelings body resisting minds clever attempts analyze im feeling,joy,5.0
ill likely post more later feel free ask questions,joy,5.0
always end feeling unwelcome sad,sadness,1.5
feel so amazing musicjuzz,joy,5.0
feel so giggly reading comment tags,joy,5.0
must add crowd similar last night except much more laidback stoner feel supporting cast parents escaped kids,love,4.5
made feel excited life,joy,5.0
feeling regretful recently not know back then abuse not fault not happen,sadness,1.5
not feeling terrific,sadness,1.5
feel quite glamorous dress,joy,5.0
feel like wouldnt longing only could baby new experience together,love,4.5
feeling lot more positive future virtual birth unit simulation midwifery education,joy,5.0
just want feeling not caring unnecessary stuff like felt,joy,5.0
feel so very keen leave country moment,joy,5.0
knowing day still makes feel not shy,joy,5.0
decided actually paint piece common canvas painting canvas makes feel very artistic,joy,5.0
really need find niche here vt feel very lonely bored taking toll httptwitter,sadness,1.5
felt apprehensive regards party oftentimes past other men made feel resentful towards when attended,anger,1.0
feel so peaceful happy,joy,5.0
feeling pretty distracted few things going so felt good go clear mind,sadness,1.5
thought maybe once started running would feel ok,joy,5.0
feel so dirty spending day mk show buddy decided would get twoplayer starter us luckily us both liked everblight liked circle maybe tad too much so all worked well,sadness,1.5
chance difficult accommodate feeling jehovah benevolent lord,joy,5.0
just say things want without even thinking person would feel rude right,anger,1.0
dont feeling divine vibrations,sadness,1.5
feel unimportant when spends nights sara get no phone call,sadness,1.5
dont know should let go feel vain should wait stay vain,sadness,1.5
feel so lucky get experience joy sssas every day,joy,5.0
feel so boring all time,sadness,1.5
im not one feels bothered,anger,1.0
feel frustration time calm hell,joy,5.0
slowly realized even next day when sixhour effects worn feeling more energetic could concentrate working emotional crap better,joy,5.0
gifted one books feeling bit intimidated take intricate work,fear,2.0
feel presence divine when buried inside smiling sweat dripping eager mouth,joy,5.0
entered office though feeling monday blues joyful serene spirit dominating,joy,5.0
feel shy all also little concerned whether new title will distance away people care,fear,2.0
feel productive active balance need,joy,5.0
need break im feeling stressed,anger,1.0
ive taken yoga classes years past few days feeling very anxious,fear,2.0
sitting couch im feeling rather ashamed so get act things slap,sadness,1.5
feel ashamed so tried very best help,sadness,1.5
feel so glad im able time spend some time family now,joy,5.0
carrot sticks not program want eat super lowgi veggies carrots relatively high sugar however convenient later another shake still feeling pretty lousy,sadness,1.5
feel watching grow selfassured lifeloving boy,joy,5.0
feeling might not taken truthful sincere compliment would,joy,5.0
will feel dull pain no reason all,sadness,1.5
feel like im working half voice caleb make really wonderful night comus inn,joy,5.0
feel lost then found november told jamie several times,sadness,1.5
feel like some pains cannot imagine becoming passionate group idea causing pain,sadness,1.5
feel comfortable here there huge niche market waiting explored,joy,5.0
feel leaving work hot complicated tempered disquiet future feels hands,love,4.5
asked toast champagne death bed remember feeling disgusted,anger,1.0
can remember feeling relaxed last summer boat,joy,5.0
dont really know why ive also feeling really rebellious,anger,1.0
get scared feel ignored feel happy get silly choke own words make wishes dreams still want believe anything could happen world ordinary girl like like ordinary girl like like how,sadness,1.5
not sure how feel think felt like already knew already sort accepted,joy,5.0
remember moved cant remember where feel so foolish,sadness,1.5
feeling little lot lost,sadness,1.5
stupid said yes made feel idiotic didnt stick guns set,sadness,1.5
im feeling little more hopeful future career,joy,5.0
ive got sale ad says starting tomorrow im feeling generous started now,love,4.5
often feel discouraged frustrated not where want life right now,sadness,1.5
nothing today feel little regretful,sadness,1.5
ever recognized feel passionate something music,love,4.5
im upset really feel like blank years old years old,sadness,1.5
feel acceptable significant modernization storyline not detraction,joy,5.0
im feeling pretty homesick week suppose thats expected,sadness,1.5
dont know wrong past few days almost feel homesick havent even left australia yet,sadness,1.5
feel cranky tonight so im not really updating properly,anger,1.0
always feel stupid afterwards,sadness,1.5
feel appalled right now,anger,1.0
feel underappreciated undervalued,sadness,1.5
im ok feels little weird,surprise,3.5
never feel shy call send billion text messages wont bugging,joy,5.0
feel enraged amount people participating chance break things treat tourist event,anger,1.0
actually feel halfway benevolent,joy,5.0
like church sundays makes feel more virtuous selfeffacing more settled week ahead,joy,5.0
thinking fact xanax slows system allows feel very relaxed also might leave not enough energy motivation,sadness,1.5
im crashing feel all irritable estrogenish,anger,1.0
ignore voice well knowing now doesnt matter feel humiliated request like feeling welcome flushed hot feeling embarrassment can arouse,love,4.5
feel rotten remind fruit wont spoil,sadness,1.5
